"ID","DESCRIPTION","TRANSLATION","NOTES"
"G21","The steps up to a secluded loft in the garden consist only of Mandorian stones.","","Garden Tea-house"
"G27","Workshop of professional inventor Xanist.","","Xanist’s Invention Shop"
"G28","Home to the best taxidermist in the Cage, Mhasha Zakk.","","Zakk’s Corpse Curing Taxidermy Shop"
"C1","A public forum moderated by Sura Ekness, with daily debates on a variety of topics. Anyone may participate with Sura’s approval, and a good showing can lead to an invitation to the Hall of Speakers.","","Trianym"
"C2","A gargantuan statue of a three-eyed nic’Epona (a magical sort of horse). The base of the statue holds three portals to the Prime, Elysium, and Celestia. It is guarded by a hired band of Doomguard.","","Trioptic Nic’Epona Statue"
"C4","Run by the Sign of One, the high-level business of running Sigil’s government is handled here as representatives of the factions gather to debate and enact legislation, as well as set more unofficial policy.","","Hall of Speakers"
"C15","Home to the retired explorer and writer Jeena Ealy, who has a series of best-selling books about life in some of the most unpleasant parts of the planes. Due to advancing age, she now hires adventurers to gather the chant for her.","","Jeena Ealy’s Compound"
"C17","Enforces a strict policy of silence; a berk who speaks is shown the door.","","Black Wind Tavern"
"C18","This service connects people with jobs across Sigil, but has very high standards. Run personally by Utadas Tensar.","","Tensar’s Employment Service"
"C25","<em>The</em> place to go for an evening’s entertainment, where one can find almost any kind of performance, art exhibition, of show at all hours of the day and night, all courtesy of the Society of Sensation.","","Civic Festhall"
"C28","A tavern that caters to the smaller races, specializing in cider from the orchards of the halfling goddess Sheela Peryroyl.","","Greengage Cider Shop"
"C35b","Home of the Fated, who run Sigil’s Mint and keep records of everything the city needs to keep an eye on, from deeds of ownership to the census to tax rolls.","","Hall of Records"
"C37","An art school and salon that is the current center of a variety of artistic movements focusing on jarring, cacophonous, and otherwise controversial styles, performances, and music.","","Lazz School of Vivid Unplesantness"
"C40","Run as an adjunct to the Hall of Records, the Hall is run to assist anyone (for a fee) who needs to deal with Sigil’s civil service.","","Hall of Information"
"C45","Serves nothing but water imported from Thalasia.","","Eyes of Elysium Tavern"
"C47","Hires out cabs drawn by Arcadian ponies. Will go almost anywhere in Sigil but the Hive Ward.","","Tea Street Transit Dispatch Office"
"C50","A wizard’s shop that uses a bound elemental spirit to produce high-quality documents for mass dissemination at a fraction of the time and cost of any other scribe.","","Grundlethum’s Automatic Scribe Print-shop"
"C54", "It’s a junkyard, where the dabus gather the refuse collected from the city’s streets into horrible, stinking piles. The dabus watch over the yard, but some horrible creatures — from otyughs to cross-trading bandits to dicease-ridden giant rats — call kip in the garbage.","","Streetsweeper’s Yard"
"H0","The mad, tangled mess at the heart of the Ward, and also the shanty-town home of&nbsp;the&nbsp;Xaositects, who bring madness, wonders, and atrocities to the city all in their quest for chaos.","","The Hive"
"H6","Aoskar is&nbsp;perhaps the&nbsp;most infamous deity in&nbsp;Sigil; once coming close to&nbsp;calling that city home, now he&nbsp;is&nbsp;forgotten by&nbsp;nearly all, and those that do&nbsp;still know his&nbsp;name almost always know him only as&nbsp;a&nbsp;cautionary tale, a&nbsp;story of&nbsp;the&nbsp;fate that would befall all deities that would seek to&nbsp;unseat the&nbsp;Lady. Even today, his worship is&nbsp;still punishable by&nbsp;death within the&nbsp;city’s walls.","","Temple of Aoskar"
"H12","Run by the Dustmen, who dispose of most every dead body that turns up unclaimed around the Cage.","","Mortuary"
"H13","Managed by the Bleak Cabal, the Gatehouse Asylum is packed near to bursting with countless people broken by the planes or life.","","Gatehouse"
"H16","Never quite in the same place every night, the Night Market is where you can go to buy or sell anything across the city, especially anything stolen or illegal.","","Gatehouse Night Market"
"H18","A foreboding, fortress-like tavern staffed largely by fensir. It’s an open secret that the proprietor, Barl Hoxun runs a vicious boxing arena behind closed doors.","","Bottle & Jug Tavern"
"H24","The best known and best funded of a handful of charity kitchens in the Hive, run by Allesha Sheevis. Nobody is turned away, and the food is free. The place also puts up those who are willing to donate a little work each day, or drop a coin in the donation box.","","Allesha’s Pantry"
"H25","Mounts to rent or purchase, though their quality is rather dubious.","","Green Stone Stables"
"H31","A free hospital for those with a death wish. The healers shun magical methods and freely experiment in “radical” new surgical techniques on anyone who can be baited in with the promise of a bed and meal.","","Weary Spirit Infirmary"
"H39","A scar on the already hideous Hive, a neighborhood that was destroyed in a sudden intrusion of the Blood War into the city centuries if not millennia ago. Something taints the place ever since, making any attempt at rebuilding futile.","","The Slags"
"H41","The iron statue stands 12’ tall and captures the bariaur in a fighting pose, clutching a glaive. The statue’s brimstone pedestal is surrounded by a garden of neatly-trimmed razorvine.","","Battling Bariaur Statue"
"L1","Magical trinkets and curio shop run by the mysterious but disarmingly polite yugoloth A’kin.","","Friendly Fiend Magic Shop"
"L3","Near The Lady’s Ward, this pawn shop trades in damn near everything. It’s run by an alu-fiend fence and her human husband.","","The Golden Bell Pawnshop"
"L5","A tiny asylum run by the Believers of the Source, for reasons unknown. It contains many who are too crazy for the Prison and too dangerous for the Gatehouse Asylum.","","Harbinger House"
"L6","Located in the Lower Ward, this tavern has entrances across the City (especially in the Clerk’s Ward) due to a variety of portals that lead to its location. It houses a large number of portals that lead across the planes.","","Ubiquitous Wayfarer Inn"
"L8","A working mage’s gentleman’s club, with access only for members and their guests. Very exclusive, and expensive to join. Its entrance is guarded by a gehreleth, Gamnesto the Vile.","","Society of the Luminiferous Aether"
"L10","A quiet tavern frequented by craftsmen who work near the Armory and the border to The Lady’s Ward. Built from the remnants of an ancient galleon, though none know how it ended up in Sigil.","","Black Sail Tavern & Inn"
"L12","Loud, violent, and just the way the clients like it. Regular brawls are more of an entertainment there than they are actual conflicts.","","Red Pony Alehouse"
"L13","A cross between a tavern and greenhouse, it’s popular among Upper Planar types and those who want to get away from the Lower Ward’s smoggy, polluted air. Simple, wholesome food and strong drink.","","Dirk and Firkin Greenhouse/Alehouse"
"L14","Headquarters of the Believers of the Source, where they produce countless common iron goods used citywide.","","Great Foundry"
"L15","A local favorite thanks to its numerous “dancers” who provide the atmosphere.","","Mermaid’s Cups Festhall"
"L16","A tavern that caters to fiends, particularly the tanar’ri. It’s possible for non-fiends to bribe their way in, but ill-advised.","","Styx Oarsman Bar"
"L18","Near the border with The Lady’s Ward, this place is frequented by bodyguards, mercenaries, and those in need of their services.","","Sword and Buckler Alehouse"
"L20","Frequented by countless thieves who meet up to find one another and plan jobs.","","Hooded Lantern Alehouse"
"L24","A cheap dive for the poorest of the Ward. Preyed upon by the Dustmen, who always have a representative on hand to buy the rights to a sod’s body after they die.","","Speckled Rat Alehouse"
"L25","A cramped, overstuffed bookstore where one can find almost any title as has been written.","","Parted Veil Bookshop"
"L27","A shop that specializes in anything with moving parts, and itself is a constantly shifting mechanical sculpture. It’s run by a strange mix of modrons, aasimon, dwarves, and gnomes, and is almost a guild in itself. Managed by Saddam Hasan ibn Arvalas, originally from Toril.","","Hands of Time Clockwork Shop/Guildhall"
"L34","A githzerai bar, and only a githzerai bar. Supposedly houses a sealed blob of chaos-stuff from Limbo for any Anarchs in the house to mold for the delight of others.","","Face of Gith Tavern"
"L37","Near the Ditch, this place is managed by Lothar the Old, Master of the Bones, who steals secrets from the bones of the dead and trades information to his own inscrutable ends.","","Bones of the Night"
"L38","Home of the Athar, considered ill-omened by most after the Lady laid waste to&nbsp;the&nsbp;neighborhood centuries ago on the night she slew Aoskar, the God of Portals.","","Shattered Temple"
"L40","A fiendish bar where sadomasochism is the order of the day, far beyond anything considered all that acceptable by mortals with a bit of kink. Has become oddly popular among the Sensates of late, though, if only to get an easy taste of true pain.","","Tenth Pit Alehouse"
"L43","A private court managed by the Dustmen and presided over by a nalfeshnee, which takes spillover cases from the City Court.","","Court of Woe"
"L44","Morbid and disturbing like a necromancer’s lab, this bar caters almost exclusively to&nbsp;Dustmen. Zombie servants and enslaved ghouls make up most of the staff.","","White Casket Tavern"
"L46","A beautiful tavern that caters mostly to elves and sylvan clients, but is popular among Primes and clients from The Lady’s Ward. The mill really works and elven breads are produced fresh daily.","","Green Mill Tavern"
"L51","A stinking mire of a canal that marks the border between the Lower Ward and the Hive Ward, favored dumping ground for deaders where even the Dustmen or corpse-pickers are reluctant to go trawling.","","The Ditch"
"L57","Monstrous church, once the headquarters of the Zactars. Most locals beleive that the cathedral is cursed.","","Zactar Cathedral"
"U1","<p>No powers are revered there, far below the Hive Ward: the name simply conveys its aura of&nbsp;fear and evil. A yagnoloth named Incarus serves as the “high priest” of&nbsp;the&nbsp;Temple. His servants include two nycaloth lieutenants (Vaniure and Ghargaross) and a large force of mezzoloth, piscoloth and canoloth underlings.</p><p>The Nightmare Shaft at the center of the temple allows the yugoloth to seep into the dreams of others.</p>","","Temple of Darkness"
"A1","Rolling roadhouse, teetering on the edge of Sigil.","","Funicular"
"A2","From the outside it seems nothing more than a door on some nondescript wall. Actually it’s a portal to a demiplane. Brimarc, a githzerai who runs the&nbsp;place, enjoys picking up the magical door and moving it from time to&nbsp;time, to keep it really secret.","","Secret Door Safe House"
"A3","<p>The World Serpent Inn is both a place and a nonplace, existing in multiple planes simultaneously and nowhere at all.</p><p>The Inn’s main entrance is a two-way portal, though its destination changes frequently. Usually it takes on an appearance appropriate for its surroundings, such as a never-beforenoticed storefront in town, a roadside tavern conveniently placed to provide shelter from a storm, or a cavern revealed by a rockslide.</p><p>The portal, regardless of its appearance, is always marked with the symbol of a serpent curled into a horizontal figure eight (the sign of infinity), eating its own tail.</p>","","World Serpent Inn"
"O2","<p>Communals beleived that everything belongs to everyone, including the&nbsp;Lady’s share of the power.</p><p>One day, everyone in the Communal headquarters (the&nbsp;City Provisioner’s) vanished. The best guess is they were all trapped into one Maze in the&nbsp;Ethereal Plane.</p>","","City Provisoner"
